Judul,Harga,Lokasi,Link
Apartemen Dijual di Pademangan,Rp 980Jt,"PPK Kemayoran, Pademangan Timur, Pademangan, Jakarta Utara, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-cf5c27055886-c7dc-19e972e-9cb6-7316
Apartemen Dijual di Grogol Petamburan,Rp 990Jt,"RW 06, Tanjung Duren Selatan, Grogol Petamburan, Jakarta Barat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-860a1fb2b593-3b00-19bfeea-86b9-7386
Apartemen Dijual di Cilandak,"Rp 2,80M","RW 10, Cilandak Barat, Cilandak, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-5ab9f441c82e-b379-19c8e16-93e4-72dc
Apartemen Dijual di Grogol Petamburan,Rp 980Jt,"RW 06, Tanjung Duren Selatan, Grogol Petamburan, Jakarta Barat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-fade2b740854-4c69-19e973f-876d-70b3
Apartemen Dijual di Grogol Petamburan,Rp 650Jt,"RW 01, Tanjung Duren Selatan, Grogol Petamburan, Jakarta Barat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-4bead3eea385-35bf-19bff14-a573-722b
Apartemen Dijual di Karet Semanggi,"Rp 1,48M","RW 02, Karet Semanggi, Setiabudi, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-ae177f02d72-e457-19efcd4-8dde-7654
Apartemen Dijual di Karet Semanggi,"Rp 1,50M","RW 02, Karet Semanggi, Setiabudi, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-17da5bd262ea-58cd-19efd30-98ef-741e
Apartemen Dijual di Grogol Petamburan,"Rp 1,22M","RW 01, Tanjung Duren Selatan, Grogol Petamburan, Jakarta Barat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-ca2bedccb66-f0bd-19c2ca9-b4cb-711b
Apartemen Dijual di Margajaya,Rp 300Jt,"Summarecon Bekasi, Rawa Bugel, Margajaya, Bekasi, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-8156b093bfe8-8f68-19f17e7-a273-7a63
Apartemen Dijual di Bangka,"Rp 3,97M","RW 02, Bangka, Mampang Prapatan, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/apartment-nirvana-kemang-mewah-murah-siap-huni-aks-174670650143/
Apartemen Dijual di Kamal Muara,"Rp 1,35M","RW 03, Kamal Muara, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-7e04929b834a-830d-19bf442-895b-762d
Apartemen Dijual di Bumi Serpong Damai,Rp 650Jt,"BSD Grand CBD, BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-3b68b85b6e54-9777-19e8408-aa0b-7b44
Apartemen Dijual di Kebon Melati,"Rp 1,05M","Kebon Melati, Tanah Abang, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-54eb78860c50-919c-19e4a39-a634-775e
Apartemen Dijual di Pasar Minggu,"Rp 1,25M","RW 04, Pejaten Timur, Pasar Minggu, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-ebca408b0bf2-e172-5b00c168-88a8-4cfa
Apartemen Dijual di Bojong Nangka,Rp 360Jt,"Podomoro Golf View, Bojong Nangka, Gunung Putri, Kab Bogor, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-f472a754bd5c-bfde-19d62c9-977c-78c8
Apartemen Dijual di Bumi Serpong Damai,Rp 390Jt,"BSD Grand CBD, BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-afc0a127e40d-9e35-19f1831-9520-7e23
Apartemen Dijual di Kalibata,Rp 418Jt,"RW 08, Kalibata, Pancoran, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/di-jual-apartemen-kalibata-city-tower-lotus-green-175429989283/
Apartemen Dijual di Harapan Mulya,Rp 465Jt,"Summarecon Bekasi, Tytyan Indah, Summarecon, Harapan Mulya, Bekasi, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-98884e3c5288-5e63-19bacf7-a832-78c0
Apartemen Dijual di Babakan Madang,Rp 760Jt,"Sentul City, Cijayanti, Babakan Madang, Kab Bogor, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-bcaff8872838-24ee-19da539-95b9-71e9
Apartemen Dijual di Pancoran,"Rp 314,97Jt","RW 04, Rawajati, Pancoran, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-c6a13a901884-379f-19b9f62-afd5-778e
Apartemen Dijual di Bumi Serpong Damai,Rp 525Jt,"BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/jual/banten/tangerang-selatan/apartemen-ayoma-studio-furnished-jl-ciater-barat-b-175646095525/
Apartemen Dijual di Karet Kuningan,Rp 630Jt,"RW 01, Karet Kuningan, Setiabudi, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/dijual-turun-harga-apartemen-tamansari-sudirman-ty-17500477950/
Apartemen Dijual di Kelapa Gading,Rp 210Jt,"RW 25, Pegangsaan Dua, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-utara/disewakan-apartemen-gading-nias-reaidences-172855382552/
Apartemen Dijual di Grogol Petamburan,"Rp 2,70M","RW 01, Tanjung Duren Selatan, Grogol Petamburan, Jakarta Barat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-9c593afa51ed-7a3f-19ef9d0-8491-761b
