Judul,Harga,Lokasi,Link
Apartemen Dijual di Mulyorejo,Rp 550Jt,"Wisma Permai, RW 05, Mulyorejo, Mulyorejo, Surabaya, Jawa Timur",https://www.lamudi.co.id/properti/41032-73-f41bd1457dc9-805c-d7862648-89ea-4063
Apartemen Dijual di Menteng Dalam,"Rp 4,60M","RW 05, Menteng Dalam, Tebet, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-30d54d1929b3-1c9a-19dd26d-9155-7285
Apartemen Dijual di Penjaringan,Rp 400Jt,"RW 10, Pluit, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-5d7b777bb2f0-3ce5-19d485c-a62b-789d
Apartemen Dijual di Kuningan,Rp 21M,"RW 01, Setiabudi, Setiabudi, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-f62c89141135-53b-9cd61aa7-a71b-432d
Apartemen Dijual di Tapos,Rp 365Jt,"Podomoro Golf View, Tapos, Tapos, Depok, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-5ce19820043e-770a-19cae12-8aec-7997
Apartemen Dijual di Kembangan,Rp 270Jt,"RW 05, Meruya Utara, Kembangan, Jakarta Barat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-24b07dea2cc3-29cb-6fb1832c-9a86-4462
Apartemen Dijual di Bumi Serpong Damai,Rp 610Jt,"BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-c02ac45786f4-1fce-19db3b0-b6fe-7446
Apartemen Dijual di Cengkareng,Rp 250Jt,"RW 13, Cengkareng Timur, Cengkareng, Jakarta Barat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-1d810dbf249a-2fb-d03b94b2-8632-42f1
Apartemen Dijual di Bekasi Selatan,Rp 800Jt,"Taman Century 1, Pekayon, Bekasi, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-573cca03a861-c97f-19c7050-8906-737a
Apartemen Dijual di Lontar,Rp 675Jt,"RW 01, Lontar, Sambikerep, Surabaya, Jawa Timur",https://www.lamudi.co.id/properti/41032-73-3e702bf7b675-546f-97bc267a-a35b-4c08
Apartemen Dijual di Bumi Serpong Damai,Rp 650Jt,"BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-b17a5b4bf5b4-4f38-db65d92f-8720-4203
Apartemen Dijual di Bumi Serpong Damai,Rp 5M,"BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-e234b84aca40-76cc-84e05054-8d1b-44a5
Apartemen Dijual di Cimone Jaya,Rp 500Jt,"Cimone Jaya, Karawaci, Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-f24ad7bfad6e-e556-19d76f1-a814-73e2
Apartemen Dijual di Babatan,Rp 600Jt,"Pakuwon Indah, Kawasan Superblock Pakuwon, Babatan, Wiyung, Surabaya, Jawa Timur",https://www.lamudi.co.id/properti/41032-73-d0673d75a05c-bc3c-c916a519-87d5-4a79
Apartemen Dijual di Kayu Putih,Rp 960Jt,"RW 16, Kayu Putih, Pulo Gadung, Jakarta Timur, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-c8a0184b7b19-db8d-b02c423b-b087-476d
