Judul,Harga,Lokasi,Link
Apartemen Dijual di Penjaringan,Rp 1M,"RW 10, Pluit, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-695f549d5f73-686c-19dee36-83d2-7bc3
Apartemen Dijual di Kenari,Rp 750Jt,"RW 06, Kenari, Senen, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-854760e6795b-b6ec-19d8b77-a7c9-7eec
Apartemen Dijual di Kenari,"Rp 1,25M","RW 06, Kenari, Senen, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-b47bb46104ca-61cf-19aed35-be41-79b9
Apartemen Dijual di Cengkareng,Rp 150Jt,"RW 14, Cengkareng Timur, Cengkareng, Jakarta Barat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-da604eb1239e-38f6-19dd833-a859-7e4c
Apartemen Dijual di Bumi Serpong Damai,Rp 850Jt,"BSD Sunburst CBD, Babakan, BSD City, Serpong, Tangerang Selatan, Banten",https://www.lamudi.co.id/properti/41032-73-6be7ebe742b9-f7a5-19caec7-8d35-7227
Apartemen Dijual di Malang,Rp 310Jt,"05, Kel Penanggungan, Kec Klojen, Kota Malang, Ketawanggede, Kota Malang, Lowokwaru, Jawa Timur",https://www.lamudi.co.id/properti/41032-73-93d565093d97-c416-19ecfb1-8563-7223
Apartemen Dijual di Kelapa Dua,Rp 550Jt,"Lippo Village, Kelapa Dua, Kelapa Dua, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-7174e52824d1-9da7-19def0d-aae1-70ad
Apartemen Dijual di Kalideres,"Rp 1,90M","RW 05, Tegal Alur, Kalideres, Jakarta Barat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-9f883dea5410-1fd3-19e6cfd-99f2-7ea1
Apartemen Dijual di Kalideres,"Rp 1,90M","RW 05, Tegal Alur, Kalideres, Jakarta Barat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-1d3e5207ecf4-d80c-19d8518-a3d8-7cf3
Apartemen Dijual di Petamburan,"Rp 1,25M","RW 07, Petamburan, Tanah Abang, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-pusat/apartemen-di-pusat-kota-dilalui-trans-jakarta-172078065551/
