Judul,Harga,Lokasi,Kota,Provinsi,Tipe Properti,Kamar Tidur,Kamar Mandi,Luas Total,Nama Agen,Link
APARTMENT TAMAN ANGGREK RESIDENCES JAKARTA BARAT 38SQM,950000000.0,"RW 06, Tanjung Duren Selatan, Grogol Petamburan, Jakarta Barat, Daerah Khusus Ibukota Jakarta",Jakarta Barat,Daerah Khusus Ibukota Jakarta,Apartemen,1.0,1.0,38.0,Peter_,https://www.lamudi.co.id/properti/41032-73-860a05141b1a-db30-19bc13f-86c8-723e
Jual Cepat Apartemen Kebagusan City 1BR Full Furnished 5 Menit Ke AEON Mall,350000000.0,"RW 03, Kebagusan, Pasar Minggu, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,1.0,1.0,27.0,Kiki Spesialis Properti BU,https://www.lamudi.co.id/properti/41032-73-7860d874d8e4-5730-19efe0a-af62-7332
Dijual Apartemen Gading Resort Residence Lokasi Strategis Di Kelapa Gading,1650000000.0,"RW 15, Kelapa Gading Barat, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Jakarta Utara,Daerah Khusus Ibukota Jakarta,Apartemen,3.0,3.0,105.0,Isabella Lovalini,https://www.lamudi.co.id/properti/41032-73-23b3786c63cc-6a17-19c986c-955f-72f0
"DIJUAL APARTEMENT KALIBATA CITY TOWER AKASIA SEMI FURNISHED, SIAP HUNI",412000000.0,"RW 07, Rawajati, Pancoran, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,2.0,1.0,33.0,Zenith Property,https://www.lamudi.co.id/properti/41032-73-89f4ebb57d8a-c029-19d76b4-ae9b-72a2
"Apartment Metropark Residence Tower Milan 
Area kawasan Puri Kembangan, Jakarta Barat",939000000.0,"RW 03, Kedoya Selatan, Kebon Jeruk, Jakarta Barat, Daerah Khusus Ibukota Jakarta",Jakarta Barat,Daerah Khusus Ibukota Jakarta,Apartemen,2.0,1.0,54.0,Albert Wong,https://www.lamudi.co.id/properti/41032-73-de08ffa686d6-ffe6-19f16a0-beb7-7403
Dijual Cepat Apartemen Gading Resort Residence Posisi Hook Di Kelapa Gading,1650000000.0,"RW 13, Kelapa Gading Timur, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Jakarta Utara,Daerah Khusus Ibukota Jakarta,Apartemen,3.0,3.0,105.0,Isabella Lovalini,https://www.lamudi.co.id/properti/41032-73-264baccdd168-918a-19c98c2-9add-75c1
DIJUAL APARTEMEN DI KAWASAN SERPONG GREENVIEW,350000000.0,"Apartement Akasa Serpong, Lengkong Gudang Timur, Serpong, Tangerang Selatan, Banten",Tangerang Selatan,Banten,Apartemen,2.0,1.0,30.0,SS GRUP PROPERTI,https://www.lamudi.co.id/properti/41032-73-ce2b796f0a68-d90-19cfb22-b2f3-7535
Di Jual Apartemen Hunian Murah Dan Nyaman,450000000.0,"RW 09, Rawasari, Cempaka Putih, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",Jakarta Pusat,Daerah Khusus Ibukota Jakarta,Apartemen,2.0,1.0,33.0,Green Pramuka City Agent,https://www.lamudi.co.id/properti/41032-73-877cab8ff2dd-54de-19edf2c-94c9-71a0
Di Jual Apartemen Murah Di Surabaya Klaska Residence Full Furnished Tengah Kota,450000000.0,"RW 03, Jagir, Wonokromo, Surabaya, Jawa Timur",Surabaya,Jawa Timur,Apartemen,1.0,1.0,25.0,Rina Normanita,https://www.lamudi.co.id/jual/jawa-timur/surabaya/dijual-apartemen-mewah-tengah-kota-klaska-residenc-17550739103/
Dijual Murah 2 BR Seaview,690000000.0,"Baloi Kolam, Sungai Panas, Sungai Panas, Batam Kota, Batam",Batam Kota,Batam,Apartemen,2.0,1.0,52.0,Suzana,https://www.lamudi.co.id/properti/41032-73-d70c8dd1adfa-c8ce-19bea9a-9bd0-77ae
Apartemen bagus connecting LRT stasiun,800000000.0,"RW 06, Ciracas, Ciracas, Jakarta Timur, Daerah Khusus Ibukota Jakarta",Jakarta Timur,Daerah Khusus Ibukota Jakarta,Apartemen,2.0,1.0,34.0,Salmi Yusnita - LRT City Ciracas,https://www.lamudi.co.id/properti/41032-73-d4a8142799f7-8ea8-19b9770-9524-7e57
"Jual rugi 40% dibawah harga developer, 3 bed + 2 bath rooms fully furnished baru mewah, siapa cepat dia dapat",2500000000.0,"RW 11, Grogol Utara, Kebayoran Lama, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,3.0,2.0,90.0,Ang Property,https://www.lamudi.co.id/properti/41032-73-b74ce4d80ace-c604-19da50d-ab57-74ef
DIJUAL - The Nest Apartment - TIPE STUDIO,300000000.0,"RW 01, Meruya Utara, Kembangan, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Banten",Daerah Khusus Ibukota Jakarta,Banten,Apartemen,1.0,1.0,21.0,Zenith Property,https://www.lamudi.co.id/properti/41032-73-4faf685ddd41-1c3a-19df36e-ade0-7733
Jual Cepat Apartemen Springwood Residence Alam Sutera 2BR Full Custom Furnished Dekat Binus,565000000.0,"Tifico, Panunggangan, Pinang, Tangerang, Banten",Tangerang,Banten,Apartemen,2.0,1.0,40.0,Kiki Spesialis Properti BU,https://www.lamudi.co.id/jual/banten/tangerang/jual-rugi-2br-springwood-residence-apartemen-dekat-175603725065/
TWO SUDIRMAN PRIVATE RESIDENCE JAKARTA,13000000000.0,"RW 11, Karet Tengsin, Tanah Abang, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",Jakarta Pusat,Daerah Khusus Ibukota Jakarta,Apartemen,2.0,3.0,175.0,Solin Property,https://www.lamudi.co.id/properti/41032-73-2240337a869d-eb60-19d9a84-b9f4-7e21
Jual BU Apartemen Vittoria Residence Daan Mogot Cengkareng 1BR Full Furnished Dekat Puri Bandara Soekarno Hatta,550000000.0,"RW 01, Rawa Buaya, Cengkareng, Jakarta Barat, Daerah Khusus Ibukota Jakarta",Jakarta Barat,Daerah Khusus Ibukota Jakarta,Apartemen,1.0,1.0,33.0,Kiki Spesialis Properti BU,https://www.lamudi.co.id/properti/41032-73-81e06a0c7a9a-3b78-19c5590-b2e9-7248
Jual Termurah Apartemen Akasa Pure Living BSD Mezzanine Full Custom Furnished Dekat Green Office Park,595000000.0,"BSD Sunburst CBD, BSD City, Serpong, Tangerang Selatan, Banten",Tangerang Selatan,Banten,Apartemen,1.0,1.0,39.0,Kiki Spesialis Properti BU,https://www.lamudi.co.id/properti/41032-73-c0018519259-87a3-19ac476-bd2b-7521
Dijual Apartemen Menara Jakarta Kemayoran,1100000000.0,"PPK Kemayoran, Pademangan Timur, Pademangan, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Jakarta Utara,Daerah Khusus Ibukota Jakarta,Apartemen,1.0,1.0,40.0,Zenith Property,https://www.lamudi.co.id/properti/41032-73-7803cf91ab01-4f55-19d828f-b58b-75d6
"For Sale, Apartment Taman, 2 BR, Full Furnished, SHGB, Lokasi Strategis, Fasilitas Lengkap",1350000000.0,"RW 10, Menteng Atas, Setiabudi, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,2.0,2.0,74.0,Rasuna Property  (Raspro.official),https://www.lamudi.co.id/properti/41032-73-6190cbf9ebc7-257a-19ac07b-a7c1-73ce
Cicilan 2jt’an – Free DP! Langsung Huni,380000000.0,"RW 07, Pekayon, Pasar Rebo, Jakarta Timur, Daerah Khusus Ibukota Jakarta",Jakarta Timur,Daerah Khusus Ibukota Jakarta,Apartemen,1.0,1.0,21.0,JKT Living Star,https://www.lamudi.co.id/jual/jakarta/jakarta-timur/cicilan-2-jutaan-apartemen-baru-siap-huni-175574714589/
Condovilla Termurahhhhhh di Summarecon Bekasi,1160000000.0,"Tytyan Indah, Summarecon, Harapan Mulya, Bekasi, Jawa Barat",Bekasi,Jawa Barat,Kondominium,2.0,2.0,79.0,PRO ONE,https://www.lamudi.co.id/properti/41032-73-2f77657022a9-5398-19dd852-8492-75d1
TERMURAH!! APARTMEN TAMANSARI ISWARA FURNISHED,399990000.0,"RW 01, Duren Sawit, Duren Sawit, Jakarta Timur, Daerah Khusus Ibukota Jakarta",Jakarta Timur,Daerah Khusus Ibukota Jakarta,Apartemen,1.0,1.0,21.0,PS - J SOLUTION,https://www.lamudi.co.id/jual/jakarta/jakarta-timur/apartmen-iswara-tamansari-full-furnished-175655140372/
Apartemen Paviliun Permata,245000000.0,"RW 04, Putat Gede, Sukomanunggal, Surabaya, Jawa Timur",Surabaya,Jawa Timur,Apartemen,1.0,1.0,47.0,Tanaga - XM Darmo Permai,https://www.lamudi.co.id/properti/41032-73-560055ae6a75-a0d0-19e8ca6-89af-793a
DIJUAL 1 UNIT PENTHOUSE Da Vinci Apartment Unit TUSCANY Jakarta Pusat,15000000000.0,"RW 03, Setiabudi, Setiabudi, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,4.0,4.0,382.0,Mohammad-Kazi,https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/dijual-1-unit-penthouse-da-vinci-apartment-unit-tu-172559938572/
"Jual Apartemen The Wave Rasuna Kuningan, Jakarta Selatan, Tower Coral Lantai 2",1180000000.0,"RW 03, Pasar Manggis, Setiabudi, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,2.0,1.0,60.0,Elvira Halim,https://www.lamudi.co.id/properti/41032-73-b264f65e8f92-2c9e-19e1615-b76f-7832
Dijual Apartemen Tokyo,495000000.0,"Osaka Riverview Apartment, Pantai Indah Kapuk 2, Salembaran, Kosambi, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,2.0,1.0,36.0,Yen Yen - Era Peak,https://www.lamudi.co.id/properti/41032-73-95012aad826f-55ea-19d58ac-8d40-7dc6
TERMURAH DI BANDUNG!! JUAL DIBAWAH NJOP GERCEPIN,1190000000.0,"Citarum, Bandung Wetan, Kota Bandung, Jawa Barat",Kota Bandung,Jawa Barat,Apartemen,2.0,2.0,108.0,PS - J SOLUTION,https://www.lamudi.co.id/jual/jawa-barat/bandung/apartmen-grand-setiabudi-bandung-jual-cepat-saja-175133818580/
Apartemen Casa De Parco For Sale in Bsd City Full Furnish,1300000000.0,"BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,2.0,1.0,66.0,Nora Raywhite Golden BSD,https://www.lamudi.co.id/properti/41032-73-aff5fa19fb99-fde8-19ac95f-a756-76b5
Jual Rugi Apartemen 2 BR Full Furnish Puncak Dharmahusada Sby,300000000.0,"RW 07, Kalijudan, Mulyorejo, Surabaya, Jawa Timur",Surabaya,Jawa Timur,Apartemen,2.0,1.0,36.0,Helena Maanary - Be The Best Property,https://www.lamudi.co.id/properti/41032-73-b75d2f91bd32-4c55-218235be-834a-450e
Dijual Cepat!! Unit Studio di Westown View Apartemen Wiyung,450000000.0,"Graha Sampurna Indah, RW 10, Babatan, Wiyung, Surabaya, Jawa Timur",Surabaya,Jawa Timur,Apartemen,1.0,1.0,24.0,Helena Maanary - Be The Best Property,https://www.lamudi.co.id/properti/41032-73-f02fcc28343-a991-1c1533c0-83c3-4dd3
Dijual Apartemen Studio B Residence BSS Full Furnished,430000000.0,"BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,2.0,1.0,23.0,Zenith Property,https://www.lamudi.co.id/properti/41032-73-aa7ad20b2b92-aa9a-19d7b08-adfa-7b1e
di jual apartment casa grande kasablanka,2950000000.0,"RW 12, Menteng Dalam, Tebet, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,3.0,3.0,101.0,Zenith Property,https://www.lamudi.co.id/properti/41032-73-9416f86802b-2ea1-19df788-bed4-7e2b
Termurah di Menteng Park! 2BR 72m² Private Area Harga Di Bawah Pasar,2180000000.0,"RW 02, Cikini, Menteng, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",Jakarta Pusat,Daerah Khusus Ibukota Jakarta,Apartemen,2.0,2.0,72.0,Independent Agent,https://www.lamudi.co.id/properti/41032-73-dc4826dab0ed-b227-19e06a4-b2af-7c2c
Regency Tower Jasmine Apartemen Kalibata City Dijual Murah,350000000.0,"RW 08, Kalibata, Pancoran, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,2.0,1.0,33.0,D3BW PROPERTY,https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/regency-tower-jasmine-apartemen-kalibata-city-diju-175605923654/
Dijual Strategis Apartemen Kalibata City Green Palace Tower Nusa indah,480000000.0,"RW 08, Kalibata, Pancoran, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,2.0,1.0,36.0,D3BW PROPERTY,https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/dijual-strategis-apartemen-kalibata-city-green-pal-175688537296/
Dijual Cepat Apartemen The Kensington Royal Suites Kelapa Gading Jakarta Utara,2200000000.0,"RW 01, Kelapa Gading Timur, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Jakarta Utara,Daerah Khusus Ibukota Jakarta,Apartemen,2.0,2.0,79.0,Andi Antoni,https://www.lamudi.co.id/properti/41032-73-70d265c3bcf2-6f94-19a9234-add9-7443
Dijual  Cepat (Oper Kredit) Tipe Studio Apartemen Westown View,450000000.0,"RW 01, Wiyung, Wiyung, Surabaya, Jawa Timur",Surabaya,Jawa Timur,Apartemen,1.0,1.0,24.0,Helena Maanary - Be The Best Property,https://www.lamudi.co.id/properti/41032-73-6257cf93b5cc-f736-19e31a2-b7c4-7511
Dijual Apartemen Studio Full Furnish Murah dan Lengkap - Tokyo Riverside PIK2,260000000.0,"Muara, Pantai Indah Kapuk 2, Muara, Teluknaga, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,1.0,1.0,21.0,LOT PROPERTY,https://www.lamudi.co.id/properti/41032-73-bf62febb62a1-3b6b-19e2a61-b03f-79fc
Dijual Apartemen Depan BINUS (Silkwood Residence) – Full Renovasi Premium 56m² 1BR,790000000.0,"Alam Sutera, Pinang, Tangerang, Banten",Tangerang,Banten,Apartemen,1.0,1.0,56.0,Jeffrey Ansen,https://www.lamudi.co.id/properti/41032-73-861caf6aff18-f6b2-19e357d-a0b4-7774
"TERMURAH BUYER ONLY  DIJUAL APARTEMEN 3 BR ( FURNISH ) M-TOWN SIGNATURE,  SUMMARECON SERPONG - TANGERANG",1500000000.0,"Gading Serpong, Pakulonan Barat, Kelapa Dua, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,3.0,3.0,91.0,Rony Ming - Gading Serpong Properti,https://www.lamudi.co.id/properti/41032-73-4f3c00c66541-7f37-19dc2fc-97fd-74ff
Murah dijual Resident Apartemen Kalibata City Tower Borneo,320000000.0,"RW 08, Kalibata, Pancoran, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,2.0,1.0,33.0,D3BW PROPERTY,https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/murah-dijual-resident-apartemen-kalibata-city-towe-175467415017/
"HARGA BU MURAH BANGET, APARTEMEN BELUM PERNAH DIHUNI JAKARTA PUSAT",1700000000.0,"RW 02, Cikini, Menteng, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",Jakarta Pusat,Daerah Khusus Ibukota Jakarta,Apartemen,2.0,1.0,60.0,Mariana - XMDM,https://www.lamudi.co.id/properti/41032-73-49c3803e6879-e1f6-19be9b5-9b95-7977
"jual apt jardin cihsmpelas , studio 18m2, furnished , murah Rp 125 jt",155000000.0,"Cipaganti, Coblong, Kota Bandung, Jawa Barat",Kota Bandung,Jawa Barat,Apartemen,1.0,1.0,18.0,Christina,https://www.lamudi.co.id/jual/jawa-barat/bandung/jual-apt-jardin-cihsmpelas-studio-18m2-furnished-m-173416076875/
DIJUAL CEPAT SETIABUDI RES 3+1BR FF BEST CITY VIEW,3600000000.0,"RW 05, Karet, Setiabudi, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,3.0,2.0,147.0,Henry Property,https://www.lamudi.co.id/properti/41032-73-5c82fa9fc1a4-2b06-19e5543-baaf-7058
JUAL CEPAT DIBAWAH NJOP Taman Rasuna Unit 3+1BR Best City View,1300000000.0,"RW 10, Menteng Atas, Setiabudi, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,3.0,2.0,90.0,Henry Property,https://www.lamudi.co.id/properti/41032-73-54054889fa94-f97-19e5554-abbd-7202
DIJUAL CEPAT Apartment Mediterania Residence 2 unit 3BR,1800000000.0,"RW 05, Tanjung Duren Selatan, Grogol Petamburan, Jakarta Barat, Daerah Khusus Ibukota Jakarta",Jakarta Barat,Daerah Khusus Ibukota Jakarta,Apartemen,3.0,2.0,70.0,Henry Property,https://www.lamudi.co.id/properti/41032-73-1b52bfccd9ca-5b6-19ead31-ba55-7081
Dijual Rugi Apartemen Pollux Chadstone Cikarang Full Furnish – 2 Kamar Harga 500 Juta net.,500000000.0,"Kota Jababeka, Sertajaya, Kab Bekasi, Jawa Barat",Kab Bekasi,Jawa Barat,Apartemen,2.0,1.0,42.0,Re/Max Grow,https://www.lamudi.co.id/properti/41032-73-d0e92d6bf107-9346-19c41a0-9f61-7111
DIJUAL Apartemen Yukata - Alam Sutra,1800000000.0,"Alam Sutera, Pinang, Tangerang, Banten",Tangerang,Banten,Apartemen,2.0,1.0,73.0,Zenith Property,https://www.lamudi.co.id/properti/41032-73-7a585b02d6e0-6b4c-19dde46-a0f0-7128
DIJUAL AKASA APARTEMENT BSD,315000000.0,"BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,2.0,1.0,47.0,Zenith Property,https://www.lamudi.co.id/properti/41032-73-a6e01ad2b1cb-bcd4-19e01a1-a563-70b9
CHEAPEST 2 BEDROOMS VILLA IN SANUR - WALK TO THE BEACH,895000000.0,"Sanur, Denpasar Selatan, Denpasar, Bali",Denpasar,Bali,Apartemen,2.0,2.0,30.0,PT TEMPLE MAHNEY PROPERTIES 1,https://www.lamudi.co.id/properti/41032-73-944c7c74bd5d-3295-19e4348-a3cb-72fa
Disewakan Murah Apartemen Puncak Cbd 2 Bedroom A Wiyung,190000000.0,"RW 02, Wiyung, Wiyung, Surabaya, Jawa Timur",Surabaya,Jawa Timur,Apartemen,2.0,1.0,35.0,Irene - Be The Best Property,https://www.lamudi.co.id/properti/41032-73-63361363b83-7c28-55d3c2c2-8933-439b
Disewakan Apartemen Full Furnished Puncak Bukit Golf Surabaya,1200000.0,"RW 02, Wiyung, Wiyung, Surabaya, Jawa Timur",Surabaya,Jawa Timur,Apartemen,2.0,2.0,108.0,Irene - Be The Best Property,https://www.lamudi.co.id/properti/41032-73-71707ec61b82-72ca-5a2d8ee4-ae34-4076
DIJUAL APARTEMEN PERMATA HIJAU SUITES SUDAH PLUS FURNISHED BY ROSEWOOD,2100000000.0,"RW 11, Grogol Utara, Kebayoran Lama, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,2.0,1.0,60.0,Desiawati,https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/dijual-apartemen-permata-hijau-suites-sudah-plus-f-174280727256/
DIJUAL Royal Mediterania Garden Residences BEST VIEW,1450000000.0,"RW 05, Tanjung Duren Selatan, Grogol Petamburan, Jakarta Barat, Daerah Khusus Ibukota Jakarta",Jakarta Barat,Daerah Khusus Ibukota Jakarta,Apartemen,2.0,1.0,48.0,Henry Property,https://www.lamudi.co.id/properti/41032-73-a67ac015bf84-a36f-19e55c3-b231-7533
Dijual Apartemen CBD Pluit. 2 Bedroom. Full Furnished,4500000000.0,"RW 08, Penjaringan, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Jakarta Utara,Daerah Khusus Ibukota Jakarta,Apartemen,2.0,2.0,113.0,Linda Wong - MR Realty,https://www.lamudi.co.id/properti/41032-73-222b9edd511c-79bd-19e2ade-81f8-73b1
"Dijual Cepat 3+1BR 1,4 Man, New Launching Tower sebelah Aeon Mall.",1400000000.0,"BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,4.0,3.0,90.0,Shasa Skyhouse BSD Aparatemen,https://www.lamudi.co.id/jual/banten/tangerang-selatan/dijual-rugi-type-3-plus-1br-dari-harga-2-3-m-now-1-175283400223/
Dijual & disewakan 2 bedroom full furnish dekat Aeon mall bsd,600000000.0,"BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,2.0,1.0,35.0,RafaPropertindo,https://www.lamudi.co.id/properti/41032-73-40be72bf916d-c79b-19ee7de-ab6e-775c
Apartemen CBD View City dan Pool 10 Menit ke Pakuwon Mall,190000000.0,"RW 02, Pradahkali Kendal, Dukuh Pakis, Surabaya, Jawa Timur",Surabaya,Jawa Timur,Apartemen,2.0,1.0,36.0,Ester Fong - Be The Best Property,https://www.lamudi.co.id/properti/41032-73-66524d00536c-b99c-1927a79-9939-7bfa
Dijual Apartemen Studio di Kelapa Gading,225000000.0,"RW 03, Pegangsaan Dua, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Jakarta Utara,Daerah Khusus Ibukota Jakarta,Apartemen,2.0,1.0,21.0,Pelita Property,https://www.lamudi.co.id/properti/41032-73-85700d5383ab-c12d-19ebf77-90fb-7609
"Dijual Apartemen Full Furnish Mediterania , Kelapa Gading",580000000.0,"RW 13, Kelapa Gading Timur, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Jakarta Utara,Daerah Khusus Ibukota Jakarta,Apartemen,2.0,1.0,38.0,Susy Gunawan Ray White Kelapa Gading Barat,https://www.lamudi.co.id/properti/41032-73-fee3a57d2d0c-ef06-19d8b93-9b47-7749
"JUAL CEPAT, TERMURAH APARTEMEN PRAXIS SURABAYA!!! NEGO SAMPAI DEAL!!!!!",850000000.0,"RW 07, Embong Kaliasin, Genteng, Surabaya, Jawa Timur",Surabaya,Jawa Timur,Apartemen,2.0,1.0,59.0,David Arif,https://www.lamudi.co.id/properti/41032-73-fb902261df87-d700-19c27e2-8226-7d6a
APARTEMEN TAMAN ANGGREK RESIDENCE 3BR JAKARTA BARAT,2300000000.0,"RW 06, Tanjung Duren Selatan, Grogol Petamburan, Jakarta Barat, Daerah Khusus Ibukota Jakarta",Jakarta Barat,Daerah Khusus Ibukota Jakarta,Apartemen,2.0,2.0,65.0,Angel Grace,https://www.lamudi.co.id/properti/41032-73-8a50d18a00e8-92ad-19e02a7-b71e-73a4
Disewakan/ Jual Apartemen  Full Furnish 2 BR Anderson Pawukon Indah Surabaya,1100000000.0,"RW 01, Sumur Welut, Lakarsantri, Surabaya, Jawa Timur",Surabaya,Jawa Timur,Apartemen,2.0,1.0,56.0,Irene - Be The Best Property,https://www.lamudi.co.id/properti/41032-73-47dc88e2979b-e076-19d209c-8cf5-7ba9
Dijual cepat Unit Apartemen The Mansion Jasmine 2BR di Jakarta Utara,1200000000.0,"PPK Kemayoran, Pademangan Timur, Pademangan, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Jakarta Utara,Daerah Khusus Ibukota Jakarta,Apartemen,2.0,1.0,74.0,Santy - Brighton Hub Gading Serpong,https://www.lamudi.co.id/properti/41032-73-eca1d63a48c7-a949-19eb54e-a2d9-7c16
"Dijual Segera Apartemen Amor, Pakuwon City, lantai 16 Surabaya",450000000.0,"RW 03, Kejawen Putih Tambak, Mulyorejo, Surabaya, Jawa Timur",Surabaya,Jawa Timur,Apartemen,1.0,1.0,22.0,Irene - Be The Best Property,https://www.lamudi.co.id/properti/41032-73-2e3db8b931d7-e5d2-19cd641-be3d-762f
Dijual unit apartemen rosebay by graha family lokasi strategis surabaya barat,4000000000.0,"Graha Famili, RW 02, Pradahkali Kendal, Dukuh Pakis, Surabaya, Jawa Timur",Surabaya,Jawa Timur,Apartemen,2.0,2.0,100.0,Dewi Laraswati - Be The Best Property,https://www.lamudi.co.id/properti/41032-73-38a9728a969-1b2b-19d8d3a-813e-7db4
Dijual 2 unit jadi satu apartemen Puncak bukit golf surabaya barat,1200000000.0,"Bukit Darmo, RW 01, Pradahkali Kendal, Dukuh Pakis, Surabaya, Jawa Timur",Surabaya,Jawa Timur,Apartemen,2.0,2.0,108.0,Dewi Laraswati - Be The Best Property,https://www.lamudi.co.id/properti/41032-73-852e2b128104-c12e-19d8d18-a1cc-7e7a
Apt.Seasoncity 3+1 BR fully Furnished,1000000000.0,"RW 05, Jembatan Besi, Tambora, Jakarta Barat, Daerah Khusus Ibukota Jakarta",Jakarta Barat,Daerah Khusus Ibukota Jakarta,Apartemen,3.0,3.0,85.0,Harianto-Tanudjaja,https://www.lamudi.co.id/properti/41032-73-8818f76848d1-d370-19f0866-98f5-7f67
"Dijual Apartemen Capitol Suites, Kwitang, Senen, Jakarta Pusat",1500000000.0,"RW 02, Kramat, Senen, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",Jakarta Pusat,Daerah Khusus Ibukota Jakarta,Kondominium,3.0,1.0,36.0,PT ARDIAN PRESTIGE LIVING,https://www.lamudi.co.id/properti/41032-73-a7ce1b139d25-ca07-19e9198-86fd-71d6
"Jual Cepat! Apartemen Kensington Royal 2BR, View Kota & Furnish",2200000000.0,"RW 01, Kelapa Gading Timur, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Jakarta Utara,Daerah Khusus Ibukota Jakarta,Apartemen,2.0,2.0,79.0,Martin Property,https://www.lamudi.co.id/properti/41032-73-9c788d91a355-adc4-19a9215-8baa-7b0a
Apartemen Furnished Dijual Murah Depan Mall Summarecon Tower A,725000000.0,"Gading Serpong, Pakulonan Barat, Kelapa Dua, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,2.0,1.0,42.0,Yovita - Lumina Realty Gading Serpong,https://www.lamudi.co.id/properti/41032-73-b91b05b47ea7-5eac-19e6738-95a4-761c
apartemen dijual full furnished gateway ahmad Yani cicadas bandung,220000000.0,"Kel. Padasuka, Padasuka, Cibeunying Kidul, Kota Bandung, Jawa Barat",Kota Bandung,Jawa Barat,Apartemen,2.0,1.0,36.0,Aming Phan MR Realty,https://www.lamudi.co.id/properti/41032-73-643a6e6bceb0-2460-19c4d3c-8e97-73b8
Apartemen Grande Valore Cikarang Full Furnished Mewah Siap Huni dekat Presiden University,420000000.0,"Kawasan Industri Jababeka 1, Kota Jababeka, Mekarmukti, Kab Bekasi, Jawa Barat",Kab Bekasi,Jawa Barat,Apartemen,1.0,1.0,36.0,Lina Chen - GadingPro Synergy,https://www.lamudi.co.id/properti/41032-73-d21cc66fcada-9a85-19cadcb-966f-75ee
