Judul,Harga,Lokasi,Link
Apartemen Dijual di Sleman,Rp 725Jt,"area pertokoan, Sariharjo, Ngaglik, Sleman, Daerah Istimewa Yogyakarta",https://www.lamudi.co.id/jual/yogyakarta/sleman/patraland-amarta-apartemen-jogja-studio-173752395866/
Apartemen Dijual di Cempaka Putih,Rp 320Jt,"RW 09, Rawasari, Cempaka Putih, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-678f217576f5-2611-19ef39d-8ed8-7f9c
Apartemen Dijual di Bekasi Barat,Rp 325Jt,"Grand Kamala Lagoon, Lagoon, Jakasampurna, Bekasi, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-5995d95e629a-a42-19db9a7-ba9a-7688
Apartemen Dijual di Bumi Serpong Damai,Rp 450Jt,"BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",https://www.lamudi.co.id/properti/41032-73-b5a2ded506f8-fe56-19d478d-98c6-73e8
Apartemen Dijual di Kelapa Gading,"Rp 1,20M","RW 18, Kelapa Gading Barat, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-636abc760ae9-5177-19f037f-b2ee-71e3
Apartemen Dijual di Beji,Rp 350Jt,"Kukusan, Beji, Depok, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-2f4085453e44-4629-19f0d25-c037-798e
Apartemen Dijual di Grogol Petamburan,"Rp 1,25M","RW 07, Tanjung Duren Selatan, Grogol Petamburan, Jakarta Barat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-9dc45afee2ba-412-19f1b83-9c14-72a6
Apartemen Dijual di Cengkareng,Rp 650Jt,"RW 02, Duri Kosambi, Cengkareng, Jakarta Barat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-ef49272b64a4-4f13-19d477d-9037-7377
Apartemen Dijual di Kalideres,"Rp 1,01M","RW 13, Semanan, Kalideres, Jakarta Barat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-d448d83e38a0-48b6-19ad5b1-abb5-7eab
Apartemen Dijual di Grogol,Rp 528Jt,"RW 07, Grogol, Grogol Petamburan, Jakarta Barat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-41d646e1c37f-f734-811c89b8-a8d5-4a52
Apartemen Dijual di Karawangpawitan,Rp 400Jt,"Purwadana, Karawang, Jawa Barat",https://www.lamudi.co.id/properti/41032-73-eb920e2a3990-df8d-583958a-8a5b-4aab
