Judul,Harga,Lokasi,Link
Apartemen Dijual di Serpong,Rp 700Jt,"Cadasmampar, Serpong, Serpong, Tangerang Selatan, Banten",https://www.lamudi.co.id/jual/banten/tangerang-selatan/apartemen-luxury-vasaka-nines-bsd-city-tangerang-174877200078/
Apartemen Dijual di Jati Padang,Rp 525Jt,"RW 05, Jati Padang, Pasar Minggu, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/apartemen-gardenia-boulevard-jakarta-selatan-173782558542/
Apartemen Dijual di Dukuh Pakis,Rp 425Jt,"Bukit Darmo, RW 01, Pradahkali Kendal, Dukuh Pakis, Surabaya, Jawa Timur",https://www.lamudi.co.id/properti/41032-73-3e6d5194e2de-88b1-19d8577-9658-77b4
Kondominium Dijual di Mlatibaru,"Rp 6,50M","RW 05, Mlatibaru, Semarang Timur, Kota Semarang, Jawa Tengah",https://www.lamudi.co.id/jual/jawa-tengah/semarang/dijual-ruang-usaha-strategis-widoharjo-semarang-173268008941/
Apartemen Dijual di Kelapa Gading,"Rp 1,62M","RW 21, Kelapa Gading Barat, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-441ea6ec2728-99c6-19f13a8-8258-71a2
Apartemen Dijual di Kesawan,"Rp 2,30M","Kesawan, Medan Barat, Kota Medan, Sumatera Utara",https://www.lamudi.co.id/properti/41032-73-6bcb96f171a1-dc95-19e1c35-ba28-787a
Apartemen Dijual di Kayu Putih,"Rp 4,50M","RW 02, Kayu Putih, Pulo Gadung, Jakarta Timur, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-d60a57797f14-ec8d-19eda75-b254-72d7
Apartemen Dijual di Cilandak,"Rp 1,20M","RW 09, Cilandak Barat, Cilandak, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-cf77937716ca-34ad-19f1b0a-ac06-751e
Apartemen Dijual di Dukuh Sutorejo,Rp 410Jt,"RW 04, Dukuh Sutorejo, Mulyorejo, Surabaya, Jawa Timur",https://www.lamudi.co.id/properti/41032-73-f9b03c75ee89-41fc-19c1e85-bf6f-7568
Apartemen Dijual di Bintaro,"Rp 1,80M","RW 03, Bintaro, Pesanggrahan, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/apartemen-lexington-residences-jual-murah-harga-ne-175402063192/
