Judul,Harga,Lokasi,Link
Apartemen Dijual di Cengkareng,Rp 1M,"RW 14, Cengkareng Timur, Cengkareng, Jakarta Barat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-18d29c417ad2-c519-19ea1a6-a0ff-7e03
Apartemen Dijual di Penjaringan,"Rp 2,60M","RW 06, Pluit, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-utara/apartemen-cbd-pluit-16951932814/
Apartemen Dijual di Kebon Jeruk,"Rp 2,80M","RW 01, Kebon Jeruk, Kebon Jeruk, Jakarta Barat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-barat/dijual-apartemen-furnished-riverside-muara-karang-174711808893/
Apartemen Dijual di Sleman,Rp 765Jt,"Sariharjo, Ngaglik, Sleman, Daerah Istimewa Yogyakarta",https://www.lamudi.co.id/jual/yogyakarta/sleman/patraland-jogja-apartemen-amarta-173579515823/
Apartemen Dijual di Penjaringan,"Rp 1,95M","RW 06, Pluit, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-utara/apartemen-cbd-pluit-16951932982/
Apartemen Dijual di Penjaringan,"Rp 2,80M","RW 06, Pluit, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-utara/dijual-apartement-cbd-pluit-3-kamar-view-pool-jaka-175758827711/
Apartemen Dijual di Cakung,Rp 629Jt,"RW 09, Cakung Timur, Cakung, Jakarta Timur, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-timur/apartemen-brand-new-dp-0-ready-siap-huni-cleon-par-17401317648/
Apartemen Dijual di Kebon Kosong,"Rp 1,40M","RW 06, Kebon Kosong, Kemayoran, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-2f4853bf1d1b-dead-19f145f-b41a-7bb9
Apartemen Dijual di Grogol Utara,"Rp 2,40M","RW 09, Grogol Utara, Kebayoran Lama, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-5acc5c18a04c-6aca-19b122c-b85b-70a9
Apartemen Dijual di Lontar,Rp 450Jt,"RW 01, Lontar, Sambikerep, Surabaya, Jawa Timur",https://www.lamudi.co.id/properti/41032-73-d4dbed2d5385-5e58-19cdbb4-9a71-72cb
Apartemen Dijual di Pisangan Timur,Rp 600Jt,"RW 07, Pisangan Timur, Pulo Gadung, Jakarta Timur, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-timur/apartemen-oak-tower-175343847458/
Apartemen Dijual di Keputih,"Rp 1,50M","RW 04, Keputih, Sukolilo, Surabaya, Jawa Timur",https://www.lamudi.co.id/properti/41032-73-5e5a8daf7731-3b02-19e8d21-a24e-7206
Apartemen Dijual di Mulyorejo,Rp 375Jt,"RW 08, Mulyorejo, Mulyorejo, Surabaya, Jawa Timur",https://www.lamudi.co.id/properti/41032-73-135546461e68-964-19cccb8-ac80-7de2
Apartemen Dijual di Kedung Baruk,Rp 600Jt,"Pondok Nirwana, RW 08, Kedung Baruk, Rungkut, Surabaya, Jawa Timur",https://www.lamudi.co.id/properti/41032-73-21ec997285dc-9e08-19ce56f-8fb2-747e
Apartemen Dijual di Kelapa Gading,Rp 450Jt,"RW 03, Pegangsaan Dua, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-3509627e504-80eb-19bda0c-9ad5-7be5
Apartemen Dijual di Cakung,"Rp 1,20M","RW 05, Rawa Terate, Cakung, Jakarta Timur, Daerah Khusus Ibukota Jakarta",https://www.lamudi.co.id/properti/41032-73-7fb54d814264-f0c4-19c8e88-82f5-7e2c
