Judul,Harga,Lokasi,Kota,Provinsi,Tipe Properti,Kamar Tidur,Kamar Mandi,Luas Total,Luas Tanah,Nama Agen,Tanggal Posting,Link
Disewakan Rumah 1 Lantai Permata Sukodono Raya Baru Gres Depan Taman,Rp 580Jt,"Sukodono, Sukodono, Sidoarjo, Jawa Timur",Sidoarjo,Jawa Timur,Rumah,2 Kamar Tidur,1 kamar mandi,45 m²,72 m²,Ishak - XM Grande Home,"1 minggu, 1 hari yang lalu",https://www.lamudi.co.id/properti/41032-73-91970f3e5913-895a-19ef27e-9c19-7c74
RUMAH CANTIK DI KOTA WISATA CIBUBUR,"Rp 1,50M","Kota Wisata, Nagrak, Gunung Putri, Kab Bogor, Jawa Barat",Kab Bogor,Jawa Barat,Rumah,1 kamar tidur,1 kamar mandi,122 m²,98 m²,Angel Claudia,22 Mei 2026,https://www.lamudi.co.id/properti/41032-73-599cc61b0ee-4a59-19e4e04-a26f-7c7b
DI JUAL APARTEMEN 2 BEDROOM SKY HOUSE BSD – READY UNIT HUNI l AKSES AEON MALL,Rp 860Jt,"BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,2 Kamar Tidur,1 kamar mandi,51 m²,,Frans Property,21 Mei 2026,https://www.lamudi.co.id/properti/41032-73-95cd83cc7304-dbac-19e4a5d-8b75-73a2
"Di jual 2BR Sky House BSD city, lokasi premium samping Aeon mall BSD",Rp 850Jt,"BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,2 Kamar Tidur,1 kamar mandi,51 m²,,Frans Property,2 Jun 2026,https://www.lamudi.co.id/properti/41032-73-6b37fd621feb-bba4-19e881f-983d-8029
DI JUAL APARTEMEN MURAAHH 2 BEDROOM SKY HOUSE BSD – READY UNIT HUNI l AKSES AEON MALL,Rp 850Jt,"BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,2 Kamar Tidur,1 kamar mandi,51 m²,,Frans Property,22 Mei 2026,https://www.lamudi.co.id/properti/41032-73-7794c51ea29c-dc0c-19e4f5b-9b4a-731e
DI JUAL APARTEMEN 2 BEDROOM SKY HOUSE BSD – READY UNIT HUNI l AKSES AEON MALL,Rp 860Jt,"BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,2 Kamar Tidur,1 kamar mandi,51 m²,,Frans Property,22 Mei 2026,https://www.lamudi.co.id/properti/41032-73-fe4b97a4aad1-7d26-19e4f24-9791-7235
Rumah Dijual Lokasi Balaraja,Rp 310Jt,"Griya Sutera, Saga, Balaraja, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Rumah,2 Kamar Tidur,1 kamar mandi,60 m²,60 m²,Yanti Duma,8 Jun 2026,https://www.lamudi.co.id/properti/41032-73-777ae7e5b381-8479-19ea5c3-8fa6-7bbe
Rumah Over Kredit Lokasi Balaraja,Rp 85Jt,"Saga, Balaraja, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Rumah,2 Kamar Tidur,1 kamar mandi,,60 m²,Yanti Duma,7 Okt 2025,https://www.lamudi.co.id/jual/banten/tangerang/rumah-over-kredit-lokasi-balaraja-174910656515/
INVESTASI TERBAIK 2026: 2BR SAMPING AEON BSD HARGA PERDANA! CASH DICICIL 36X BUNGA 0%,Rp 840Jt,"BSD Grand CBD, BSD City, Pagedangan, Pagedangan, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,2 Kamar Tidur,1 kamar mandi,48 m²,,Sky House BSD.,3 Jun 2026,https://www.lamudi.co.id/properti/41032-73-2462c22c8a4b-cf35-19e8efa-b9dd-7c00
Dijual Apartemen Sepinggan Terrace Balikpapan,Rp 600Jt,"Sepinggan Baru, Balikpapan Selatan, Balikpapan, Kalimantan Timur",Balikpapan,Kalimantan Timur,Apartemen,,1 kamar mandi,29 m²,,Frans Property,10 Nov 2025,https://www.lamudi.co.id/properti/41032-73-f74d68fda560-862d-19a6d33-89c7-734b
Best Deal! Unit Full Furnished – herbras 20 | apartemen kalibata city,Rp 470Jt,"RW 04, Rawajati, Pancoran, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,2 Kamar Tidur,1 kamar mandi,,,Adelia Queen,2 Jan 2026,https://www.lamudi.co.id/properti/41032-73-d6cd955edaef-3f5a-19b7d15-b9f3-7ef6
"Rumah Arsitektur 1962 Klasik dijual di Brawijaya, Kebayoran Baru, South Jakarta",Rp 45M,"Blok P, Pulo, Kebayoran Baru, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Rumah,6 Kamar Tidur,4 Kamar Mandi,986 m²,986 m²,Ezell Nathan,6 Jun 2026,https://www.lamudi.co.id/properti/41032-73-85f9878b4adf-93c6-19e9c7e-922b-729b
Rumah dijual minimalis modern Deket kecamatan Cakung,"Rp 1,05M","RW 04, Jatinegara, Cakung, Jakarta Timur, Daerah Khusus Ibukota Jakarta",Jakarta Timur,Daerah Khusus Ibukota Jakarta,Rumah,3 Kamar Tidur,2 Kamar Mandi,73 m²,466 m²,Yumiati Suwandy,4 Jun 2026,https://www.lamudi.co.id/properti/41032-73-24d46cc64348-fc30-19e90bb-9ae3-7161
Rumah dijual Rawamangun Deket perkantoran,"Rp 1,25M","RW 01, Cipinang, Pulo Gadung, Jakarta Timur, Daerah Khusus Ibukota Jakarta",Jakarta Timur,Daerah Khusus Ibukota Jakarta,Rumah,3 Kamar Tidur,2 Kamar Mandi,67 m²,42 m²,Yumiati Suwandy,12 Mei 2026,https://www.lamudi.co.id/properti/41032-73-c52d0b9b8bae-7b0e-19e1bae-850c-78c7
Dijual Rumah 2 lantai minimalis,"Rp 1,05M","Duta Garden, Jurumudi Baru, Benda, Tangerang, Banten",Tangerang,Banten,Rumah,3 Kamar Tidur,2 Kamar Mandi,71 m²,76 m²,Hendrawan,29 Mei 2026,https://www.lamudi.co.id/properti/41032-73-7150a009d260-3de2-19e7341-b43b-76da
